Table with row headers in column A and column headers in rows 9 through 11,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21
"FINC-02. Age of Reference Person, by Total Money Income in 2015, Type of Family, Race and Hispanic Origin of Reference Person.",,,,,,,,,,,,,,,,,,,,,
"For information on confidentiality protection, sampling error, nonsampling error, and definitions, see www2.census.gov/programs-surveys/cps/techdocs/cpsmar16.pdf",,,,,,,,,,,,,,,,,,,,,
"Source: U.S. Census Bureau, Current Population Survey, 2016 Annual Social and Economic Supplement.",,,,,,,,,,,,,,,,,,,,,
"(Numbers in thousands. Families as of March of the following year. A.O.I.C. stands for alone or in combination. Median income is calculated using $2,500 income intervals.",,,,,,,,,,,,,,,,,,,,,
"The Gini index is calculated using micro-sorted data.  Medians falling in the upper open-ended interval are plugged with $250,000.  Standard errors calculated using replicate weights)",,,,,,,,,,,,,,,,,,,,,
All Primary Families,,,,,,,,,,,,,,,,,,,,,
All Races,,,,,,,,,,,,,,,,,,,,,
Characteristic,Total,Under 65 years,,,,,,,,,,,,,,65 years and over,,,,,Mean age
,,Total Under 65 years,15 to 24 years,25 to 34 years,,,35 to 44 years,,,45 to 54 years,,,55 to 64 years,,,Total 65 years and over,65 to 74 years,,,75 years and over,
,,,,Total,25 to 29 years,30 to 34 years,Total,35 to 39 years,40 to 44 years,Total,c12,50 to 54 years,Total,55 to 59 years,60 to 64 years,,Total,65 to 69 years,70 to 74 years,,
"$90,000 to $94,999","2,298","1,922",66,357,167,190,553,258,295,468,235,234,477,292,185,376,262,159,103,114,48.8
"$95,000 to $99,999","1,995","1,604",30,322,129,193,446,232,214,418,219,200,388,201,187,391,286,170,116,105,49.9
"$100,000 to $104,999","2,129","1,788",32,323,117,206,530,256,274,513,279,234,391,228,163,340,282,187,95,59,48.7
"$105,000 to $109,999","1,622","1,333",26,232,67,166,361,193,167,391,200,191,323,165,158,289,215,139,77,73,50.0
"$110,000 to $114,999","1,809","1,490",30,269,91,178,363,179,184,435,211,224,394,220,173,319,253,169,84,66,50.0
"$115,000 to $119,999","1,497","1,289",32,234,77,157,333,162,171,374,202,172,316,208,108,208,156,117,39,52,48.6
"$120,000 to $124,999","1,606","1,372",19,224,67,157,401,205,196,373,171,202,354,193,161,234,155,90,65,79,49.6
"$125,000 to $129,999","1,256","1,028",29,166,57,109,288,130,158,299,162,138,246,123,123,227,175,109,65,53,49.8
"$130,000 to $134,999","1,257","1,054",11,194,71,124,258,134,124,323,136,186,268,158,110,204,149,99,51,54,49.9
"$135,000 to $139,999","1,067",891,13,161,54,106,236,110,127,254,136,118,227,123,104,176,149,82,67,27,49.7
"$140,000 to $144,999","1,132",950,12,140,53,88,246,114,132,290,134,155,262,149,113,182,165,111,54,18,50.2
"$145,000 to $149,999",896,741,15,110,50,60,216,111,105,226,100,126,174,97,77,155,112,71,41,43,50.1
"$150,000 to $154,999","1,100",945,13,140,64,76,245,105,140,323,188,134,224,82,142,155,117,61,56,38,49.7
"$155,000 to $159,999",855,694,1,77,20,57,202,107,94,240,128,111,175,109,66,161,134,82,52,27,51.2
"$160,000 to $164,999",918,777,7,96,27,69,200,114,87,235,109,126,239,132,107,141,91,49,41,50,51.2
"$165,000 to $169,999",762,660,10,87,36,51,174,86,88,226,125,101,162,96,66,103,74,46,28,29,49.6
"$170,000 to $174,999",666,578,10,49,8,40,163,81,82,205,107,98,151,80,71,88,63,38,25,25,50.4
"$175,000 to $179,999",635,546,7,69,15,54,158,78,80,166,84,82,148,73,75,89,61,37,24,28,50.1
"$180,000 to $184,999",571,473,10,62,18,44,145,76,70,140,78,62,115,69,46,99,82,52,30,17,49.8
"$185,000 to $189,999",513,422,6,46,31,16,95,43,52,144,59,85,131,87,44,91,70,53,17,21,51.7
"$190,000 to $194,999",522,441,11,45,7,38,98,40,58,176,95,81,110,51,60,81,73,41,32,8,50.9
"$195,000 to $199,999",417,356,2,61,25,36,74,32,42,105,64,41,115,59,55,61,49,28,21,11,50.6
"$200,000 and over","7,556","6,473",83,591,149,442,"1,734",797,937,"2,194","1,034","1,160","1,871","1,030",841,"1,084",873,592,281,211,51.0
Median income (dollars),"72,707","76,907","44,501","61,641","54,219","68,025","80,168","77,062","82,304","90,119","89,611","90,496","82,837","87,244","79,017","58,559","67,226","73,166","60,353","48,306",(X)
..Standard error (dollars),478,376,"1,898",628,"1,669","1,504",787,"1,115","1,187",976,"1,523","1,322","1,137","1,519","1,558",804,"1,367","1,911","1,550","1,262",(X)
Mean income (dollars),"97,357","101,277","59,881","77,788","69,617","83,742","102,513","98,311","106,757","117,063","115,143","119,000","110,593","113,926","106,848","82,335","92,007","97,054","85,018","64,901",(X)
..Standard error (dollars) ,600,679,"2,518","1,004","1,709","1,284","1,156","1,579","1,684","1,480","1,876","2,208","1,585","2,155","2,140","1,236","1,707","2,243","2,419","1,389",(X)
Gini ratio,0.452,0.452,0.495,0.442,0.454,0.429,0.447,0.446,0.448,0.438,0.437,0.438,0.440,0.434,0.447,0.440,0.439,0.436,0.441,0.414,(X)
..Standard error,0.0024,0.0026,0.0190,0.0052,0.0108,0.0059,0.0045,0.0067,0.0064,0.0050,0.0064,0.0075,0.0056,0.0082,0.0081,0.0054,0.0069,0.0085,0.0127,0.0073,(X)
Income per family member,"31,041","30,425","19,891","23,401","22,503","23,980","26,865","25,491","28,283","34,381","32,218","36,792","39,725","39,006","40,622","34,316","37,834","39,616","35,322","27,728",(X)
..Standard error (dollars)  ,207,215,848,336,602,418,315,431,463,457,544,727,597,784,864,555,761,979,"1,085",637,(X)
Total persons in families,"259,863","218,722","9,512","43,030","16,879","26,151","64,818","32,922","31,896","57,901","30,521","27,380","43,460","24,125","19,335","41,141","26,820","15,689","11,131","14,321",(X)
"FINC-02. Age of Reference Person, by Total Money Income in 2017, Type of Family, Race and Hispanic Origin of Reference Person.",,,,,,,,,,,,,,,,,,,,,
"Data reflect the implementation of an updated processing system that incorporates content from earlier questionnaire redesigns related to income, health insurance, and demographics.",,,,,,,,,,,,,,,,,,,,,
"For information on confidentiality protection, sampling error, nonsampling error, and definitions, see <www2.census.gov/programs-surveys/cps/techdocs/cpsmar18.pdf>.",,,,,,,,,,,,,,,,,,,,,
"Source: U.S. Census Bureau, Current Population Survey, 2018 Annual Social and Economic Supplement.",,,,,,,,,,,,,,,,,,,,,
"(Numbers in thousands. Families as of March of the following year. A.O.I.C. stands for alone or in combination. Median income is calculated using $2,500 income intervals.",,,,,,,,,,,,,,,,,,,,,
"The Gini index is calculated using micro-sorted data.  Medians falling in the upper open-ended interval are plugged with $250,000.  Standard errors calculated using replicate weights)",,,,,,,,,,,,,,,,,,,,,
All Primary Families,,,,,,,,,,,,,,,,,,,,,
All Races,,,,,,,,,,,,,,,,,,,,,
Characteristic,Total,Under 65 years,,,,,,,,,,,,,,65 years and over,,,,,Mean age
,,Total Under 65 years,15 to 24 years,25 to 34 years,,,35 to 44 years,,,45 to 54 years,,,55 to 64 years,,,Total 65 years and over,65 to 74 years,,,75 years and over,
,,,,Total,25 to 29 years,30 to 34 years,Total,35 to 39 years,40 to 44 years,Total,45 to 49 years,50 to 54 years,Total,55 to 59 years,60 to 64 years,,Total,65 to 69 years,70 to 74 years,,
....Total,"83,539","65,738","3,025","12,969","5,353","7,616","17,132","8,889","8,243","16,753","8,593","8,160","15,859","8,309","7,551","17,800","11,533","6,612","4,921","6,267",50.2
"Under $5,000","2,144","1,767",238,560,288,272,440,281,160,286,155,130,242,125,117,377,209,104,106,168,44.4
"$5,000 to  $9,999","1,203",975,101,293,168,125,219,141,78,172,90,81,190,101,90,229,130,65,65,99,46.4
"$10,000 to $14,999","1,924","1,562",184,391,210,181,415,223,192,269,160,109,303,131,172,362,195,123,72,167,46.7
"$15,000 to $19,999","2,322","1,750",149,427,186,241,425,225,200,348,188,160,401,214,187,572,296,159,136,277,50.1
"$20,000 to $24,999","3,073","2,264",244,576,282,293,550,321,229,427,228,199,466,256,211,810,444,254,190,366,49.7
"$25,000 to $29,999","3,214","2,202",206,586,267,319,555,301,254,445,236,209,409,203,207,"1,012",591,302,289,421,51.3
"$30,000 to $34,999","3,512","2,380",188,664,285,379,590,339,251,458,243,215,479,246,234,"1,132",645,351,294,487,51.6
"$35,000 to $39,999","3,321","2,363",183,550,248,302,606,340,266,510,253,257,515,220,295,958,479,233,246,479,51.5
"$40,000 to $44,999","3,116","2,221",109,555,234,321,580,309,272,463,219,244,512,238,275,895,532,271,261,363,51.8
"$45,000 to $49,999","3,019","2,198",136,491,228,263,533,274,260,509,274,235,529,229,301,821,476,247,229,345,51.7
